Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Agent_Acc           Disc_Demo_Acc            Disc_Agent_Logit         Disc_Demo_Logit          Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Exp_Prob                 
0                        0.04735482778814104      131072                   4.185492038726807        19.494876861572266       9758                     4.173938751220703        19.123172760009766       4652                     135.43812561035156       78.50992584228516        -0.003358712187036872    0.033477783203125        1.000272274017334        0.0                      11.386313438415527       1.8313608169555664       174.65977478027344       0.8642212152481079       0.88897705078125         -1.085803508758545       0.8751120567321777       10.567766189575195       5.537281513214111        2.6914539337158203       1.9146395921707153       1.0                      
100                      0.20629871831999885      13238272                 4.495372772216797        20.697471618652344       10961                    4.57322359085083         21.098054885864258       619041                   8.268195152282715        0.7353713512420654       0.0028429273515939713    0.05330047756433487      0.9996731877326965       0.0                      1.505995750427246        0.07348138093948364      84.9173583984375         0.8450668454170227       1.0                      -2.6085965633392334      1.4918373823165894       0.026632025837898254     0.8585086464881897       0.5482480525970459       0.820503294467926        1.0                      
200                      0.36595001724031234      26345472                 5.673154830932617        26.823589324951172       12851                    5.04449462890625         23.375350952148438       557934                   6.632445812225342        1.4326519966125488       -0.0015057636192068458   0.05388946458697319      1.0003679990768433       0.0                      1.0402601957321167       0.042268622666597366     50.63121795654297        0.837384045124054        0.9997604489326477       -1.8159420490264893      1.2868881225585938       -0.004961689934134483    1.203224539756775        0.6154413223266602       0.7678773999214172       1.0                      
300                      0.5254621127578947       39452672                 7.411362171173096        41.68647766113281        9431                     6.624965667724609        34.020896911621094       382632                   6.565158843994141        2.464404821395874        -0.003475601552054286    0.0522613525390625       1.0002012252807617       7.023346793033625e-09    0.8208460211753845       0.03707916662096977      30.082345962524414       0.8734481930732727       0.9996597170829773       -1.5159869194030762      1.2108925580978394       -0.004769704304635525    1.5748159885406494       0.635865330696106        0.6527771949768066       1.0                      
400                      0.6870810816685359       52559872                 10.975101470947266       70.74221801757812        9986                     8.090359687805176        47.18718338012695        274540                   6.720317840576172        3.4500439167022705       -0.005209334660321474    0.05093688890337944      0.999535083770752        8.797090345069591e-07    0.6550964713096619       0.029832204803824425     18.09371566772461        0.9104537963867188       0.9990631341934204       -1.4256380796432495      1.1943328380584717       0.07060667872428894      1.861595869064331        0.5934484004974365       0.5624644756317139       1.0                      
500                      0.8530249780416489       65667072                 108.80594635009766       546.484619140625         4137                     22.673538208007812       152.80746459960938       80372                    11.083374977111816       8.425836563110352        -0.010327090509235859    0.09664764255285263      1.0002539157867432       8.227941066252242e-07    0.5335732102394104       0.02746712975203991      11.39301586151123        0.9792389273643494       0.9983230829238892       -1.4499180316925049      1.3440998792648315       -0.4195166826248169      2.94586181640625         0.47267740964889526      0.3394480049610138       1.0                      
600                      1.0143452607923085       78774272                 141.5917205810547        559.36181640625          4115                     94.55317687988281        442.7357482910156        27195                    10.240083694458008       7.76223611831665         -0.021475637331604958    0.11612091213464737      1.000357747077942        8.195293048629537e-07    0.49986448884010315      0.02511264942586422      7.448713779449463        0.986437976360321        0.9995102286338806       -1.2706080675125122      1.283518671989441        -0.08892489969730377     2.958401679992676        0.553074836730957        0.27819517254829407      1.0                      
700                      1.1737720083528096       91881472                 184.26654052734375       576.8900756835938        4102                     128.48123168945312       491.6928405761719        24538                    10.049419403076172       7.766293525695801        -0.015845878049731255    0.09842224419116974      1.0003724098205566       1.9302779037388973e-06   0.4597945213317871       0.023794611915946007     5.079888820648193        0.989270031452179        0.999768078327179        -1.3011120557785034      1.317110300064087        -0.6493683457374573      2.940297842025757        0.5190144777297974       0.23852942883968353      1.0                      
800                      1.329922195540534        104988672                168.6332550048828        573.7691040039062        4106                     147.54110717773438       524.796875               23190                    11.603982925415039       9.456524848937988        -0.016464442014694214    0.10606689751148224      1.000445008277893        6.731530447723344e-06    0.4327845573425293       0.021937137469649315     3.614044189453125        0.9923599362373352       0.9552566409111023       -1.4616535902023315      1.3063839673995972       -2.3727164268493652      3.325840950012207        0.4606466293334961       0.22533312439918518      1.0                      
900                      1.4854742582639058       118095872                192.47508239746094       581.4340209960938        4101                     154.9970245361328        532.8588256835938        22832                    10.150614738464355       7.892312049865723        -0.02034517377614975     0.15433502197265625      0.9992455840110779       6.27914175765909e-07     0.45572978258132935      0.02080654911696911      2.694638967514038        0.9942947626113892       0.9995712637901306       -1.1077756881713867      1.1979308128356934       -0.849786102771759       2.933983564376831        0.6250974535942078       0.1906345784664154       1.0                      
