Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Exp_Prob                 
0                        0.006483566297425164     131072                   3.960669994354248        15.608261108398438       5736                     3.869349718093872        15.579442977905273       6294                     1.4728758335113525       1.4758005142211914       -0.0029244059696793556   0.0188751220703125       1.000313401222229        0.0                      1.0766782760620117       0.8987480998039246       1.0                      
100                      0.164656876789199        13238272                 9.628548622131348        21.034317016601562       4721                     6.227755069732666        18.730419158935547       697449                   0.3505026698112488       0.35672736167907715      -0.006224785931408405    0.075775146484375        1.0000393390655518       0.0                      0.0008721061749383807    0.6026588082313538       1.0                      
200                      0.3216588071319792       26345472                 14.303926467895508       25.530593872070312       5752                     11.423510551452637       23.130783081054688       564293                   0.9093030095100403       0.9134497046470642       -0.004146595951169729    0.05135498195886612      1.0000718832015991       0.0                      0.034048471599817276     0.9595107436180115       1.0                      
300                      0.48108234167099         39452672                 19.25383949279785        34.536563873291016       9354                     15.39317798614502        29.465686798095703       442394                   1.9455912113189697       1.9487831592559814       -0.003191523253917694    0.04587402567267418      1.0001778602600098       0.0                      0.0505722314119339       1.399703860282898        1.0                      
400                      0.6403759593433804       52559872                 23.0844669342041         40.49662780761719        8604                     18.34378433227539        34.70966339111328        375344                   2.2932260036468506       2.2960143089294434       -0.002788372104987502    0.04435119777917862      1.0000832080841064       0.0                      0.051848847419023514     1.5347992181777954       1.0                      
500                      0.800981764793396        65667072                 29.62331199645996        51.72344207763672        8508                     21.500436782836914       40.52009963989258        321100                   3.0617523193359375       3.064497947692871        -0.0027460025157779455   0.05043487623333931      1.000082015991211        0.0                      0.06497210264205933      1.7715836763381958       1.0                      
600                      0.9656669102112452       78774272                 47.10084533691406        83.30122375488281        9520                     25.739582061767578       48.47239685058594        267843                   4.986323356628418        4.989394664764404        -0.003072468563914299    0.04567413404583931      1.0000455379486084       0.0                      0.025615785270929337     2.2408156394958496       1.0                      
700                      1.1319532293081283       91881472                 74.97523498535156        128.6549072265625        7052                     31.70850372314453        60.110191345214844       215475                   7.894789218902588        7.898163795471191        -0.0033738501369953156   0.05493011698126793      1.0001647472381592       0.0                      0.05351131781935692      2.8203842639923096       1.0                      
800                      1.2973062824540669       104988672                169.60543823242188       275.375                  4136                     42.18950653076172        80.36874389648438        160060                   12.97855281829834        12.982704162597656       -0.004152138717472553    0.05968933179974556      1.000508427619934        0.0                      0.09661942720413208      3.6176979541778564       1.0                      
900                      1.4595435010062323       118095872                189.9561004638672        297.7109375              4096                     69.44725036621094        131.48870849609375       96195                    21.520767211914062       21.525493621826172       -0.004726139362901449    0.06645812839269638      1.0001622438430786       0.0                      0.0762576013803482       4.634494781494141        1.0                      
1000                     1.6187804169125026       131203072                201.4240264892578        299.9438781738281        4096                     124.32866668701172       227.6753692626953        55005                    12.088445663452148       12.106497764587402       -0.018052443861961365    0.05775299295783043      0.9998799562454224       0.0                      0.060190871357917786     3.4824960231781006       1.0                      
1100                     1.7776177183787027       144310272                212.29928588867188       300.0                    4096                     162.86509704589844       279.9105529785156        44560                    5.383214473724365        5.4097490310668945       -0.02653440646827221     0.06656952202320099      1.0002211332321167       0.0                      0.06893916428089142      2.282866954803467        1.0                      
1200                     1.9320278451840083       157417472                221.14097595214844       300.0                    4096                     178.6385498046875        289.7669677734375        42773                    2.5328242778778076       2.5557281970977783       -0.022903485223650932    0.06430359184741974      0.9998661875724792       0.0                      0.04643956944346428      1.6095227003097534       1.0                      
1300                     2.0802847691377004       170524672                226.43588256835938       299.9302062988281        4096                     187.6226043701172        292.41339111328125       42291                    2.366514205932617        2.3908233642578125       -0.024309633299708366    0.05240478739142418      1.0001939535140991       2.1049450182886176e-08   0.0314650684595108       1.559844970703125        1.0                      
1400                     2.223798449171914        183631872                231.10739135742188       300.0                    4096                     193.86708068847656       293.447509765625         42088                    1.4119195938110352       1.4292038679122925       -0.017284143716096878    0.05797576904296875      0.999849259853363        1.8383103039809612e-08   0.034514933824539185     1.2102340459823608       1.0                      
1500                     2.3623511007759306       196739072                233.87147521972656       299.5810546875           4096                     198.50755310058594       293.6105041503906        42034                    1.1053210496902466       1.123012900352478        -0.017691707238554955    0.06536255031824112      0.9996805191040039       0.0                      0.006674899719655514     1.0752573013305664       1.0                      
1600                     2.496609985298581        209846272                237.11541748046875       300.0                    4096                     202.4568634033203        294.2549133300781        41925                    0.75294029712677         0.7619079351425171       -0.008967658504843712    0.06274566799402237      1.000025987625122        0.0                      0.02028352953493595      0.8800592422485352       1.0                      
1700                     2.6265228698650995       222953472                240.51528930664062       299.7905578613281        4096                     205.63458251953125       294.40509033203125       41887                    0.5214807391166687       0.5307347178459167       -0.00925401784479618     0.06566009670495987      0.999889075756073        3.215297894598734e-08    -0.004712671507149935    0.7221200466156006       1.0                      
1800                     2.753364394240909        236060672                242.7943878173828        299.720703125            4096                     208.80487060546875       295.1366882324219        41764                    0.8351316452026367       0.8501713871955872       -0.015039446763694286    0.059783935546875        1.0001788139343262       9.993300631450097e-11    0.00322062149643898      0.93306565284729         1.0                      
1900                     2.880168081389533        249167872                244.76380920410156       300.0                    4096                     211.3738555908203        295.4222412109375        41717                    0.38412293791770935      0.3930149972438812       -0.008892166428267956    0.07372894138097763      0.9997221231460571       2.0417390000915248e-09   0.02520895004272461      0.6096861958503723       1.0                      
2000                     3.0031309439076317       262275072                246.41632080078125       300.0                    4096                     213.66397094726562       295.9076232910156        41628                    0.3129808008670807       0.32050052285194397      -0.007519697304815054    0.07865601032972336      0.9998933672904968       0.0                      0.013332245871424675     0.5826847553253174       1.0                      
2100                     3.124044048786163        275382272                247.6329803466797        299.9302062988281        4096                     215.9130859375           296.5832824707031        41522                    0.3384530544281006       0.3501307964324951       -0.01167774572968483     0.0695648193359375       0.9996936917304993       0.0                      0.005008662585169077     0.6113910675048828       1.0                      
2200                     3.242626386615965        288489472                248.96820068359375       300.0                    4096                     217.891845703125         297.11712646484375       41432                    0.24700284004211426      0.25592002272605896      -0.008917215280234814    0.08011322468519211      0.9995765686035156       0.0                      -0.0026869839057326317   0.5077632069587708       1.0                      
