Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Pose_Err                 Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Exp_Prob                 
0                        0.03790305124388801      131072                   3.458097219467163        9.676041603088379        5547                     3.481452703475952        10.088623046875          10776                    2.045713424682617        2.0486841201782227       -0.00297060189768672     0.02211608923971653      1.0005534887313843       0.0                      1.3677968978881836       0.9722801446914673       0.16464510560035706      0.48491284251213074      0.1991124153137207       0.7979801297187805       2.4374382495880127       0.5458595752716064       1.7305785417556763       1.0                      
100                      0.14028728855980768      13238272                 8.348180770874023        16.203258514404297       4482                     5.580580711364746        13.090983390808105       998705                   0.22555170953273773      0.23275618255138397      -0.007204458117485046    0.09007415920495987      0.9996063113212585       0.0                      -0.003777723992243409    0.4856572449207306       0.12556971609592438      0.35618856549263         0.15825609862804413      0.6522977352142334       2.158844470977783        0.4625379145145416       1.2177783250808716       1.0                      
200                      0.2391286108891169       26345472                 15.202598571777344       26.275156021118164       5099                     10.922847747802734       19.912866592407227       655375                   1.367794394493103        1.3743342161178589       -0.006539908703416586    0.08209075778722763      0.9999740719795227       0.0                      0.021837038919329643     1.1826207637786865       0.16858601570129395      0.36267971992492676      0.14178048074245453      0.5372854471206665       2.019312620162964        0.43567049503326416      1.1734627485275269       1.0                      
300                      0.34371951791975236      39452672                 30.66168975830078        52.86815643310547        12501                    19.315731048583984       33.8778076171875         383898                   5.035714149475098        5.039432525634766        -0.00371863623149693     0.066864013671875        0.9997726678848267       0.0                      0.025753090158104897     2.2526044845581055       0.2332698404788971       0.337080180644989        0.14352862536907196      0.49541884660720825      2.028980016708374        0.4144665598869324       1.0978403091430664       1.0                      
400                      0.45233544607957205      52559872                 55.06707000732422        93.22225952148438        10490                    30.478681564331055       53.47377014160156        242045                   9.794198989868164        9.79753589630127         -0.0033357476349920034   0.05196685716509819      0.9999668002128601       4.876951038568222e-07    -0.007341926917433739    3.1454570293426514       0.2690531015396118       0.29207348823547363      0.12411142885684967      0.4444043040275574       2.0276339054107666       0.41978883743286133      0.9031079411506653       1.0                      
500                      0.5559211652808719       65667072                 176.98739624023438       275.28863525390625       4133                     52.003692626953125       90.44608306884766        140302                   22.175498962402344       22.179996490478516       -0.004498564172536135    0.0557403564453125       0.9999174475669861       4.499637270782841e-06    0.1785009354352951       4.721315860748291        0.16008548438549042      0.2208227962255478       0.10707403719425201      0.39051851630210876      2.0596506595611572       0.3576701879501343       0.8461392521858215       1.0                      
600                      0.6584217709302902       78774272                 188.0064239501953        277.47735595703125       4110                     124.94702911376953       211.8487548828125        59092                    8.643996238708496        8.66704273223877         -0.023049307987093925    0.05715179443359375      1.0002479553222656       1.0225109690509271e-05   0.2105775624513626       2.9809746742248535       0.09892363101243973      0.18581058084964752      0.09535616636276245      0.35886454582214355      2.049063205718994        0.31517741084098816      0.8282600045204163       1.0                      
700                      0.7604554478327433       91881472                 199.9002685546875        277.7563171386719        4116                     168.6741180419922        266.2329406738281        46722                    3.7058513164520264       3.720327854156494        -0.01447625644505024     0.05437011644244194      0.999982476234436        4.350945800979389e-06    0.06633101403713226      2.011991500854492        0.08419738709926605      0.1590648889541626       0.08010674268007278      0.3064531683921814       1.95604407787323         0.2824501097202301       0.7507563829421997       1.0                      
800                      0.8551540033684837       104988672                209.71414184570312       277.3541259765625        4117                     183.7285919189453        272.3726501464844        45551                    1.7254981994628906       1.739317536354065        -0.013819199986755848    0.05976562574505806      1.0002756118774414       8.262381925305817e-07    0.036071691662073135     1.3377296924591064       0.07881823182106018      0.13665829598903656      0.0680362656712532       0.26307135820388794      1.870903730392456        0.2676064670085907       0.6638927459716797       1.0                      
900                      0.9451324166854222       118095872                215.8909912109375        275.1048278808594        4121                     192.79624938964844       273.4263610839844        45362                    1.5995787382125854       1.6095432043075562       -0.00996457226574421     0.05385437235236168      0.9995360374450684       2.305074076502933e-06    0.04343613237142563      1.3401765823364258       0.07744535803794861      0.12353778630495071      0.059035271406173706     0.23691704869270325      1.7953176498413086       0.24636361002922058      0.5967174172401428       1.0                      
