Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.007969055705600315     131072                   12.937788963317871       23.94760513305664        9122                     8.761077880859375        18.01141929626465        3417                     13.67326545715332        13.674771308898926       -0.001505845575593412    0.012751770205795765     0.9999591708183289       0.0                      3.7023730278015137       2.273939847946167        0.35082167387008667      0.12018891423940659      1.0                      
100                      0.15235799776183234      13238272                 37.85879135131836        54.065185546875          7961                     19.554319381713867       34.35325241088867        377638                   5.196943759918213        5.202107906341553        -0.005162825342267752    0.02112884633243084      1.0000890493392944       0.0                      0.18391773104667664      2.2907581329345703       0.34334540367126465      0.11640694737434387      1.0                      
200                      0.2873416754934523       26345472                 47.981082916259766       60.405845642089844       7042                     42.30439758300781        63.589046478271484       203089                   2.1787471771240234       2.2067341804504395       -0.027987126260995865    0.01639556884765625      0.9998993873596191       0.0                      0.030261095613241196     1.4898046255111694       0.3422240614891052       0.1159062534570694       1.0                      
300                      0.4192614605691698       39452672                 52.659088134765625       60.6145133972168         7030                     53.1539192199707         70.28150177001953        183716                   1.0365225076675415       1.0638426542282104       -0.02732006274163723     0.02127227745950222      1.0001496076583862       0.0                      0.021720800548791885     1.0341006517410278       0.3420363664627075       0.1162160113453865       1.0                      
400                      0.5521986467308468       52559872                 54.267333984375          59.6330680847168         7170                     58.15812683105469        71.08329772949219        181644                   0.8898710608482361       0.9194733500480652       -0.029602348804473877    0.02450714074075222      1.0003032684326172       0.0                      -0.001764281652867794    0.964708685874939        0.3421338200569153       0.11750712990760803      1.0                      
500                      0.6866588489876853       65667072                 56.51578903198242        60.86201858520508        6986                     60.162784576416016       71.17804718017578        181445                   0.417593777179718        0.42858654260635376      -0.010992723517119884    0.02172699011862278      0.9996533393859863       0.0                      0.014350790530443192     0.6571670770645142       0.342295378446579        0.11879519373178482      1.0                      
600                      0.8204787845744027       78774272                 56.468177795410156       60.143898010253906       7054                     61.13484191894531        71.27813720703125        181144                   0.4516547620296478       0.4683799743652344       -0.016725098714232445    0.02266998402774334      1.0002728700637817       0.0                      -0.004217717796564102    0.6862142086029053       0.3425622284412384       0.11979551613330841      1.0                      
700                      0.9553730228874419       91881472                 56.70155334472656        60.13694763183594        7046                     61.84313201904297        71.46966552734375        180694                   0.33240440487861633      0.34730231761932373      -0.014897867105901241    0.02391357533633709      0.999755322933197        0.0                      0.005075317807495594     0.5907321572303772       0.34281519055366516      0.12055519968271255      1.0                      
800                      1.090343309044838        104988672                57.710201263427734       60.98921585083008        6945                     62.16356658935547        71.4691390991211         180671                   0.3569627106189728       0.3784288167953491       -0.021466046571731567    0.02316894568502903      1.0001258850097656       0.0                      -0.003312100889161229    0.6176470518112183       0.3429453372955322       0.12093281000852585      1.0                      
900                      1.2254182575808632       118095872                56.74128723144531        59.78655242919922        7149                     62.4945068359375         71.55542755126953        180407                   0.1628822535276413       0.17825528979301453      -0.015373028814792633    0.02575073204934597      0.9997669458389282       0.0                      -0.0006741710240021348   0.4233344495296478       0.3429453372955322       0.12093281000852585      1.0                      
1000                     1.3609946611854764       131203072                57.616966247558594       60.58361053466797        7039                     62.815589904785156       71.6976089477539         180145                   0.14814850687980652      0.1596166342496872       -0.011468134820461273    0.0278778076171875       1.0002076625823975       0.0                      -5.794293247163296e-05   0.40026378631591797      0.3429453372955322       0.12093281000852585      1.0                      
1100                     1.4966757278972203       144310272                57.47542953491211        60.37718963623047        7047                     62.87986373901367        71.61282348632812        180345                   0.07439015060663223      0.07875406742095947      -0.0043639251962304115   0.03259124979376793      0.9997068643569946       0.0                      0.0007259256672114134    0.28145644068717957      0.3429453372955322       0.12093281000852585      1.0                      
1200                     1.6327191381322013       157417472                57.31641387939453        60.13174057006836        7067                     62.886905670166016       71.48568725585938        180603                   0.14440695941448212      0.1607939451932907       -0.016386989504098892    0.02305145375430584      1.000192403793335        0.0                      0.0019985376857221127    0.4028385281562805       0.3429453372955322       0.12093281000852585      1.0                      
1300                     1.7679460423522526       170524672                57.72847366333008        60.501224517822266       6969                     62.942047119140625       71.4367904663086         180775                   0.13558097183704376      0.14812885224819183      -0.012547877617180347    0.02277832105755806      0.9999775886535645       5.292267513112847e-09    0.000864029279910028     0.3866053819656372       0.3429453372955322       0.12093281000852585      1.0                      
1400                     1.9038647523853514       183631872                58.65419006347656        61.380252838134766       7001                     63.09822463989258        71.51986694335938        180550                   0.10049908608198166      0.11265214532613754      -0.012153076007962227    0.03708953782916069      0.9999200105667114       0.0                      -0.0025197030045092106   0.336656391620636        0.3429453372955322       0.12093281000852585      1.0                      
